concept_id	ces	deu	ita	eng	pol	rus	nob	ukr	fra	lat
a00971506	elegantne moderne	mode modisch	elegantemente in voga alla moda	a la mode in vogue modish	modny		moderne		en vogue mode elegamment a la mode	
n15216563	av	aw  av	av	ab av	aw		ab		av	
n02666196		abakus	abbaco abaco	abacus				abak	abaque	
n02666347			abbaco abaco	abacus		abaka  abak		abak	abaque	
n01942869		abalone	abalone	abalone	abalone	galiotis abalon			abalone haliotide haliotis	
n14440623		erniedrigung	degradazione	abasement abjection degradation	degradacja spodlenie	degradatsiia	degradering		abjection degradation abaissement	degradatio
n14549070	abazie	abasie	abasia	abasia	abazja	abazija	abasi	abaziia	abasie	abasia
n02667093	abaja aba	aba abaya		abaya	abaja				abaya	
n08550364	opatstvi	abtei	abbazia badia	abbacy		abbatstvo	abbedi	abatstvo	abbatiat	abbatia
n07091587			abbreviazione	abbreviation	abrewiacja	abbreviacija			abreviation	abbreviatio
n09754907		abbreviator	abbreviatore	abbreviator	abrewiator abbrewiator				abreviateur	abbreviator
v02379198	abdikovat		abdicare abdicammo	abdicate	abdykowac		abdisere		abdiquer	abdico abdicare
n07254456	abdikace		dimissioni abdicazione	abdication	abdykacja				abdication demission	
n05479108		nervus abducens	abducente nervo abducente	abducens abducens nerve nervus abducens abducent nerve abducent						nervus abducens
n05291010	abduktor	abduktor	abduttore	abductor	abduktor	abduktor			abducteur	
n12671651	abelie	abelie	abelia	abelia			abelia		abelia	
n14503665	aberace	aberration	aberrazione	aberration deviance aberrance		aberratsiia			aberration deviance aberrance	
n11621547	abies pectinata	abies pectinata abies alba	abies alba	abies alba	abies pectinata abies alba				abies alba	
n11420376	abiogeneze	abiogenese	abiogenesi autogenesi	abiogenesis autogeny autogenesis	autogeneza  abiogeneza	abiogenez		abiohenez	abiogenese abiogenese	
n07206096	odvolani	abjuration		abjuration	odwolanie	ab'iuratsiia		ab'iuratsiia	abnegation abjuration	abjuratio abiuratio
n09639543				abkhaz abkhas		abxazskij		abxazka	abkhaze abkhazien	
n06978656	abchazstina	abchasisch	abkhazian abcaso	abkhazian abkhasian	abchaski	abxazskij	abkhasisk	abxazka	abkhaze abkhazien abkhasien	
n06312612	ablativ absolutni	ablativus absolutus	ablativo assoluto	ablative absolute	ablativus absolutus				ablatif absolu	
n06312418	ablativ	ablativ	ablativo	ablative case ablative	ablatyw	abljativ ablativ	estisk	estonska	ablatif	ablativus
n07112103	ablaut	ablaut	alternazione alternanza apofonia alternarsi	ablaut	apofonia	ablaut			alternation apophonie alternance	
n00255450	omyvani myti se	ablution	abluzione	ablution	mycie sie obmywanie ablucja omywanie	promyvanije			ablution	ablutio
a01595596	abnormalni	anormal abnormal		abnormal	nienormalny anormalny		abnorm		anormal	
n14501726	odchylka		anormalita  anomalia	abnormality  abnormalcy	odchylka anomalia				anormalite	
r00227171	abnormalne	abnorm unnormal abnormal	anormalmente	abnormally					anormalement	
r00250056	na palube aby	bei an bord in a auf fur pro um an mit		aboard	dla ku do aby z po w na	s k v na	i med om bord til pa		a a bord	ad
n00228283			soppressione abolizione	abolition abolishment	abolicja				abolition abolissement abrogation suppression	abolitio
n05958208		abolitionismus	abolizionismo	abolitionism	abolicjonizm	abolitsionizm		abolitsionizm	abolitionnisme	
n09756637	abolicionista	abolitionist	abolizionista	abolitionist	abolicjonista	abolitsionist		abolitsionist	abolitionniste	
a01460679			odioso abominevole ripugnante	abominable odious		odioznyi protivnyi otvratitel'nyi	odios	protivnii	odieuse abominable repugnant	abominabilis
n09676490		aborigine	aborigeno d\australia	aborigine  aboriginal native australian	aborygen	aborigen aborigenka		aboryhen	aborigene	
n09757076		aborigine	autoctono aborigeno	aborigine autochthon		aborigen tuzemka			aborigene autochtone	
